WKT,Enplanements,Passengers,Magnetic_Variation,County_s_State_Post_Office_Code,Official_Facility_Name,Elevation_Nearest_Tenth_Of_A_Foot_Msl,Has_Been_Designated_As_A_Customs_Landing_Rights_Airport,Location_Identifier,Departing_Flights,County_Or_Parish_Name,Magnetic_Direction,Arriving_Flights,Has_Been_Designated_As_An_International_Airport,Icao_Identifier,City_Name,Associated_Aeronautical_Chart,Airport_Activation_Date_Mm_Yyyy,State_Name,SHAPE_X,SHAPE_Y
"POINT (-87.5076944440049 41.2301388891529)",,,1,IN,Lowell,675,,C97,,Lake,W,,,,Lowell,Chicago,08/1980,Indiana,-87.5076944440049,41.2301388891529
"POINT (-157.019919722416 58.7328805554761)",,,21,AK,Naknek,70,N,5NK,,Bristol Bay,E,,N,,Naknek,Kodiak,06/1953,Alaska,-157.019919722416,58.7328805554761
"POINT (-93.6589037220963 33.7199811390101)",,,3,AR,Hope Muni,359,N,M18,,Hempstead,E,,N,,Hope,Memphis,07/1944,Arkansas,-93.6589037220963,33.7199811390101
"POINT (-91.5316388890245 42.029833333293)",,,2,IA,Marion,862,,C17,,Linn,E,,,,Marion,Chicago,09/1966,Iowa,-91.5316388890245,42.029833333293
"POINT (-94.8346944445231 40.331694444301)",,,5,MO,Rankin,976,,78Y,,Nodaway,E,,,,Maryville,Omaha,03/1974,Missouri,-94.8346944445231,40.331694444301
"POINT (-95.4177486108463 36.1439869446875)",,,6,OK,Buzzards Roost,661,,O18,,Mayes,E,,,,Inola,Kansas City,08/1969,Oklahoma,-95.4177486108463,36.1439869446875
"POINT (-96.7546944443157 33.3682763885679)",,,,TX,Four Winds,790,,9S1,,Collin,,,,,Celina,Dallas-Ft Worth,05/2007,Texas,-96.7546944443157,33.3682763885679
"POINT (-99.1890833331694 28.6855000001502)",,,8,TX,Dilley Airpark,542,N,24R,,Frio,E,,N,,Dilley,San Antonio,,Texas,-99.1890833331694,28.6855000001502
"POINT (-97.1384166666831 29.3131666667619)",,,6,TX,Yoakum Muni,365.4,N,T85,,Lavaca,E,,N,,Yoakum,San Antonio,01/1970,Texas,-97.1384166666831,29.3131666667619
"POINT (-176.646030555578 51.8779638889037)",2131,2134,7,AK,Adak,18,N,ADK,105,Aleutians West,E,105,N,PADK,Adak Island,W Aleutian Isls,04/1949,Alaska,-176.646030555578,51.8779638889037
"POINT (-154.182555556004 56.9386908331854)",932,1013,18,AK,Akhiok,44,N,AKK,390,Kodiak Island,E,381,N,PAKH,Akhiok,Kodiak,11/1979,Alaska,-154.182555556004,56.9386908331854
"POINT (-161.493330555967 60.9138111108968)",,,19,AK,Akiachak,23.3,N,Z13,,Bethel,E,,N,,Akiachak,Mc Grath,01/1968,Alaska,-161.493330555967,60.9138111108968
"POINT (-161.230583333611 60.9028888888906)",2048,3505,16,AK,Akiak,30,N,AKI,1777,Bethel,E,1782,N,PFAK,Akiak,Mc Grath,07/1966,Alaska,-161.230583333611,60.9028888888906
"POINT (-73.0325361108393 22.3837916668152)",,,,BS,Mayaguana,11,,MYMM,,Bahamas,,,Y,MYMM,Abrahams Bay,,,,-73.0325361108393,22.3837916668152
"POINT (-165.604111111456 54.1446111113588)",1411,1416,10,AK,Akutan,129.3,,7AK,561,Aleutians East,E,572,,PAUT,Akutan,,07/2012,Alaska,-165.604111111456,54.1446111113588
"POINT (-158.557755277358 59.2631458332945)",,,20,AK,Tripod,225,N,Z25,,Bristol Bay,E,,N,,Aleknagik,Kodiak,01/1966,Alaska,-158.557755277358,59.2631458332945
"POINT (-158.617866666229 59.2825555554505)",,,20,AK,Aleknagik /New,63,,5A8,,Bristol Bay,E,,,,Aleknagik,Kodiak,12/1982,Alaska,-158.617866666229,59.2825555554505
"POINT (-152.622166666671 66.5518333334633)",,,22,AK,Allakaket,441,,6A8,,Yukon-Koyukuk,E,,,PFAL,Allakaket,Fairbanks,10/1999,Alaska,-152.622166666671,66.5518333334633
"POINT (-157.857472222302 67.1063138887174)",,,21,AK,Ambler,334,N,AFM,,Northwest Arctic,E,,N,PAFM,Ambler,Fairbanks,,Alaska,-157.857472222302,67.1063138887174
"POINT (-151.177480277487 65.1017188889876)",,,26,AK,American Creek,500,N,80A,,Yukon-Koyukuk,E,,N,,American Creek,Fairbanks,08/1958,Alaska,-151.177480277487,65.1017188889876
