WKT,Enplanements,Passengers,Magnetic_Variation,State_Name,Official_Facility_Name,Elevation_Nearest_Tenth_Of_A_Foot_Msl,Has_Been_Designated_As_A_Customs_Landing_Rights_Airport,Location_Identifier,Departing_Flights,County_Or_Parish_Name,Magnetic_Direction,Facility_Type,Arriving_Flights,Has_Been_Designated_As_An_International_Airport,Icao_Identifier,City_Name,Associated_Aeronautical_Chart,Airport_Activation_Date_Mm_Yyyy,County_s_State_Post_Office_Code,SHAPE_X,SHAPE_Y
"POINT (-74.8227500004275 41.1261777780373)",,,,New Jersey,Heaton,942,,27JY,,Sussex,,Heliport,,,,Newton,New York,06/2007,NJ,-74.8227500004275,41.1261777780373
"POINT (-81.4375333330916 27.8346694443497)",,,,Florida,Timmer,104,,6FL7,,Polk,,Heliport,,,,Lake Wales,Miami,11/2005,FL,-81.4375333330916,27.8346694443497
"POINT (-105.41892222264 36.7097944443651)",,,,New Mexico,Red River,8617,,N02,,Taos,,Heliport,,,,Red River,Denver,05/2009,NM,-105.41892222264,36.7097944443651
"POINT (-70.7138888886801 41.7549999998191)",,,,Massachusetts,Tobey Hospital,86,,70MA,,Plymouth,,Heliport,,,,Wareham,New York,06/2006,MA,-70.7138888886801,41.7549999998191
"POINT (-71.4982333334652 43.1143166664442)",,,,New Hampshire,Scott,580,,2NH3,,Merrimack,,Heliport,,,,Bow,New York,10/2004,NH,-71.4982333334652,43.1143166664442
"POINT (-74.8461333332244 39.7202333336614)",,,,New Jersey,Heli-Ray,160,,25JY,,Camden,,Heliport,,,,Waterford,,04/2006,NJ,-74.8461333332244,39.7202333336614
"POINT (-81.5237311115006 40.8186683332858)",,,6,Ohio,Gainey,940,,35OH,,Stark,W,Heliport,,,,Massillon,Detroit,01/1973,OH,-81.5237311115006,40.8186683332858
"POINT (-79.1136450000017 40.6300661108723)",,,8,Pennsylvania,S W Jack,1360,,53PN,,Indiana,W,Heliport,,,,Indiana,Detroit,11/1980,PA,-79.1136450000017,40.6300661108723
"POINT (-87.2566658334636 33.5159430552894)",,,,Alabama,Drummond,470,,AL06,,Walker,E,Heliport,,,,Jasper,Atlanta,07/1975,AL,-87.2566658334636,33.5159430552894
"POINT (-86.4691333333123 33.2465333332807)",,,,Alabama,Gaston Steam Plant,461,,34AL,,Autauga,,Heliport,,,,Wilsonville,,09/2012,AL,-86.4691333333123,33.2465333332807
"POINT (-118.413415277646 34.2597247221296)",,,14,California,Barton,960,,PAI,,Los Angeles,E,Heliport,,,KPAI,Pacoima,Los Angeles,04/1978,CA,-118.413415277646,34.2597247221296
"POINT (-81.2837305553571 28.8136805553541)",,,,Florida,Central Florida Regional Hospital,17,,2FA8,,Seminole,,Heliport,,,,Sanford,Miami,08/2007,FL,-81.2837305553571,28.8136805553541
"POINT (-85.3174416665036 38.6570666667929)",,,,Kentucky,Milton Fire Rescue,928,,9KY7,,Adair,,Heliport,,,,Bedford,St Louis,09/2013,KY,-85.3174416665036,38.6570666667929
"POINT (-71.2049999996852 42.5975000002397)",,,,Massachusetts,Tew Mac,92,,80MA,,Middlesex,,Heliport,,,,Tewksbury,New York,06/2009,MA,-71.2049999996852,42.5975000002397
"POINT (-83.3889416664571 41.9241138887656)",,,6,Michigan,Mercy Memorial Hospital,615,,58MI,,Monroe,W,Heliport,,,,Monroe,Detroit,03/2007,MI,-83.3889416664571,41.9241138887656
"POINT (-90.9633330555251 38.982409166839)",,,1,Missouri,Landing Pad,520,,MO41,,Lincoln,E,Heliport,,,,Troy,St Louis,10/1997,MO,-90.9633330555251,38.982409166839
"POINT (-103.005322222448 42.8234444444198)",,,,Nebraska,Chadron Community Hospital,3500,,60NE,,Dawes,,Heliport,,,,Chadron,,02/2003,NE,-103.005322222448,42.8234444444198
"POINT (-75.1252777775491 39.4533333335411)",,,,New Jersey,Two Can Sam,108,,86NJ,,Cumberland,,Heliport,,,,Vineland,Washington,08/2010,NJ,-75.1252777775491,39.4533333335411
"POINT (-76.2213197225 42.1028519441663)",,,12,New York,Owego,907,,NK49,,Tioga,W,Heliport,,,,Owego,New York,03/1981,NY,-76.2213197225,42.1028519441663
"POINT (-81.3370555558372 40.4022888887405)",,,7,Ohio,Twin City Hospital,940,,15OH,,Tuscarawas,W,Heliport,,,,Dennison,Detroit,10/1992,OH,-81.3370555558372,40.4022888887405
"POINT (-75.4488888886249 41.8580555557982)",,,,Pennsylvania,Coxton Lake,2110,,3PS7,,Wayne,,Heliport,,,,Lakewood,,08/2006,PA,-75.4488888886249,41.8580555557982
"POINT (-67.0394444442692 18.1086944443681)",,,,Puerto Rico,La Concepcion Hospital,120,,28PR,,--Puerto Rico,,Heliport,,,,San German,Gnc 7,09/2004,PR,-67.0394444442692,18.1086944443681
"POINT (-86.8083322223022 36.1917225003445)",,,,Tennessee,Metrocenter,408,,TN92,,Davidson,W,Heliport,,,,Nashville,St Louis,03/1991,TN,-86.8083322223022,36.1917225003445
"POINT (-96.5838027777761 33.7095861112245)",,,,Texas,Texoma Medical Center Hwy 75,682,,16XA,,Grayson,,Heliport,,,,Denison,Dallas-Ft Worth,01/2010,TX,-96.5838027777761,33.7095861112245
"POINT (-112.530277777348 37.0541666666306)",,,,Utah,Kch Helipad,5000,,UT02,,Kane,,Heliport,,,,Kanab,Las Vegas,11/2012,UT,-112.530277777348,37.0541666666306
"POINT (-82.7596050004271 36.8556522220894)",,,4,Virginia,Dmme,1950,,VA51,,Wise,W,Heliport,,,,Big Stone Gap,Cincinnati,04/1993,VA,-82.7596050004271,36.8556522220894
"POINT (-149.82183055591 61.1890305557365)",,,25,Alaska,Providence Hospital,140,,AK38,,Anchorage,E,Heliport,,,,Anchorage,Anchorage,11/1986,AK,-149.82183055591,61.1890305557365
"POINT (-149.839094444617 61.2247749999557)",,,,Alaska,Viking,72,,AA04,,Aleutian Islands,,Heliport,,,,Anchorage,Anchorage,12/2008,AK,-149.839094444617,61.2247749999557
"POINT (-149.827369444883 61.2118888890748)",,,24,Alaska,Alaska Rgnl Hospital,137,,2OK,,Anchorage,E,Heliport,,,,Anchorage,Anchorage,03/1993,AK,-149.827369444883,61.2118888890748
"POINT (-149.79230000042 61.156130555717)",,,25,Alaska,Campbell Blm,235,N,AK82,,Anchorage,E,Heliport,,N,,Anchorage,Anchorage,01/1971,AK,-149.79230000042,61.156130555717
"POINT (-150.035560555306 61.2494513888215)",,,25,Alaska,Point Mackenzie,72,,AK37,,Anchorage,E,Heliport,,,,Point Mackenzie,Anchorage,03/1991,AK,-150.035560555306,61.2494513888215
"POINT (-149.749424444073 61.2397286109824)",,,25,Alaska,Elmendorf Hospital,228,N,AK91,,Anchorage,E,Heliport,,N,,Anchorage,Anchorage,08/1966,AK,-149.749424444073,61.2397286109824
"POINT (-149.92901111086 61.5148611113015)",,,,Alaska,Team Levine,150,,AK87,,Matanuska-Susitna,,Heliport,,,,Big Lake,Anchorage,05/2006,AK,-149.92901111086,61.5148611113015
"POINT (-149.931080555289 61.5165805553916)",,,,Alaska,Cowell's,142,,68AK,,Matanuska-Susitna,,Heliport,,,,Big Lake,Anchorage,07/2004,AK,-149.931080555289,61.5165805553916
"POINT (-149.927138888857 61.52157499983)",,,,Alaska,Saddleback Island,150,,AA07,,Anchorage,,Heliport,,,,Big Lake,Anchorage,10/2008,AK,-149.927138888857,61.52157499983
"POINT (-134.13533916652 56.0021130556696)",,,26,Alaska,Cape Decision Lighthouse,34,N,CDE,,Wrangell-Petersburg,E,Heliport,,N,,Cape Decision,Juneau,05/1967,AK,-134.13533916652,56.0021130556696
"POINT (-136.638810555169 58.1990686108959)",,,27,Alaska,Cape Spencer C.G.,84,N,CSP,,Skagway-Yakutat,E,Heliport,,N,,Cape Spencer,Juneau,05/1967,AK,-136.638810555169,58.1990686108959
"POINT (-133.145856388481 55.4752202777602)",,,26,Alaska,Craig Cg,20,N,1AK0,,Prince Of Wales,E,Heliport,,N,,Craig,Ketchikan,05/1967,AK,-133.145856388481,55.4752202777602
"POINT (-146.258569639305 70.1712846111954)",,,23,Alaska,Central Pad,9,,AA03,,North Slope,E,Heliport,,,,Deadhorse,Point Barrow,01/2009,AK,-146.258569639305,70.1712846111954
"POINT (-145.738947221993 64.0388624999344)",,,25,Alaska,Buffalo Row,1180,,AK35,,Fairbanks North Star,E,Heliport,,,,Delta Junction,Fairbanks,07/2002,AK,-145.738947221993,64.0388624999344
"POINT (-145.680174444168 64.0271088890835)",,,25,Alaska,Trophy Lodge,1200,,72AK,,Fairbanks North Star,E,Heliport,,,,Delta Junction,Fairbanks,07/2002,AK,-145.680174444168,64.0271088890835
"POINT (-168.953055555447 65.7586111112494)",,,14,Alaska,Diomede,20,,DM2,,Aleutian Islands,E,Heliport,,,,Diomede,Nome,02/2000,AK,-168.953055555447,65.7586111112494
"POINT (-135.237382222284 58.9710586113098)",,,28,Alaska,Eldred Rock Cg,33,N,ERO,,Skagway-Yakutat,E,Heliport,,N,,Eldred Rock,Juneau,05/1967,AK,-135.237382222284,58.9710586113098
"POINT (-147.862145555148 64.8153991668557)",,,28,Alaska,Tundra Copter,434,,1AK9,,Fairbanks North Star,E,Heliport,,,,Fairbanks,Fairbanks,04/1976,AK,-147.862145555148,64.8153991668557
"POINT (-133.631451389094 57.2699363886941)",,,27,Alaska,Five Finger Cg,48,N,2AK3,,Juneau,E,Heliport,,N,,Five Finger,Juneau,05/1967,AK,-133.631451389094,57.2699363886941
"POINT (-148.881749722318 63.7384319443376)",,,26,Alaska,Era Denali,1580,,7AK7,,Yukon-Koyukuk,E,Heliport,,,,Healy,Anchorage,02/1992,AK,-148.881749722318,63.7384319443376
"POINT (-151.549999999815 59.6522611111069)",,,,Alaska,South Peninsula Hospital,370,,4AA4,,Kenai Peninsula,,Heliport,,,,Homer,Kodiak,11/2009,AK,-151.549999999815,59.6522611111069
"POINT (-134.776799999579 58.3907805554904)",,,26,Alaska,Alascom/Coastal Lena Point,150,,AK94,,Juneau,E,Heliport,,,,Juneau,Juneau,08/1997,AK,-134.776799999579,58.3907805554904
"POINT (-134.460083333443 58.3288027777426)",,,,Alaska,Barlett Regional Hospital,296,,AA44,,Juneau,,Heliport,,,,Juneau,Juneau,09/2008,AK,-134.460083333443,58.3288027777426
"POINT (-134.899999999887 58.5916666667496)",,,,Alaska,Yankee Cove,,,73AK,,Aleutian Islands,,Heliport,,,,Juneau,Juneau,04/2004,AK,-134.899999999887,58.5916666667496
"POINT (-134.497053333671 58.3321736112761)",,,28,Alaska,North Douglas,25,N,18AK,,Juneau,E,Heliport,,N,,Juneau,Juneau,,AK,-134.497053333671,58.3321736112761
"POINT (-158.532464444819 59.0017527777119)",,,20,Alaska,Ans Hospital,100,N,5Z4,,Bristol Bay,E,Heliport,,N,,Kanakanak,Kodiak,06/1967,AK,-158.532464444819,59.0017527777119
"POINT (-131.73501833325 55.382984166681)",,,26,Alaska,Ketchikan /Temsco H/,20,N,17AK,,Ketchikan Gateway,E,Heliport,,N,,Ketchikan,Ketchikan,05/1965,AK,-131.73501833325,55.382984166681
"POINT (-149.589063889306 70.3430416667389)",,,27,Alaska,Pad-66,60,,27AK,,Barrow,E,Heliport,,,,Kuparuk,Point Barrow,06/2002,AK,-149.589063889306,70.3430416667389
"POINT (-149.853233333403 70.4824805555757)",,,,Alaska,Nikaitchuq Operations Center,20,,AA38,,North Slope,,Heliport,,,,Kuparuk,Point Barrow,10/2011,AK,-149.853233333403,70.4824805555757
"POINT (-149.910527778019 70.5562500001456)",,,,Alaska,Spy Island Drill-Site,21,,AA51,,North Slope,,Heliport,,,,Kuparuk,Point Barrow,10/2011,AK,-149.910527778019,70.5562500001456
"POINT (-151.308333332924 60.7397222220432)",,,23,Alaska,Offshore Systems-Kenai,150,,1AK5,,Kenai Peninsula,E,Heliport,,,,Nikiski,Anchorage,12/1992,AK,-151.308333332924,60.7397222220432
"POINT (-150.253466667049 70.4954222223645)",,,23,Alaska,Oooguruk Island,27,,AK32,,North Slope,E,Heliport,,,PFNU,Nuiqsut,Anchorage,01/2007,AK,-150.253466667049,70.4954222223645
"POINT (-150.01859166705 70.4141000000574)",,,23,Alaska,Pioneer,38,,AA27,,North Slope,E,Heliport,,,PPNU,Nuiqsut,,03/2008,AK,-150.01859166705,70.4141000000574
"POINT (-149.259147222078 61.5628666664828)",,,,Alaska,Mat-Su Rgnl Medical Center,145,,92AK,,Matanuska-Susitna,,Heliport,,,,Palmer,Anchorage,05/2006,AK,-149.259147222078,61.5628666664828
"POINT (-148.703644444808 70.4920999999148)",,,30,Alaska,Northstar,10,,90AK,,North Slope,E,Heliport,,,,Prudhoe Bay/Deadhorse,Point Barrow,02/2000,AK,-148.703644444808,70.4920999999148
"POINT (-149.443055555238 60.1052777779507)",,,23,Alaska,Providence Seward Medical Center,120,,01AK,,Seward,E,Heliport,,,,Seward,Anchorage,02/2000,AK,-149.443055555238,60.1052777779507
"POINT (-151.077779444139 60.4913733334616)",,,24,Alaska,Soldotna Hospital H,95,N,SD1,,Kenai-Cook Inlet,E,Heliport,,N,,Soldotna,Anchorage,10/1971,AK,-151.077779444139,60.4913733334616
"POINT (-150.235883332935 62.5675527778528)",,,24,Alaska,Era Chulitna River,960,,61AK,,Matanuska-Susitna,E,Heliport,,,,Trapper Creek/Talkeetna,Anchorage,03/2000,AK,-150.235883332935,62.5675527778528
"POINT (-151.041147222136 61.1807694443487)",,,,Alaska,Beluga,75,,5AK1,,Anchorage,,Heliport,,,,Tyonek,Seward,04/2004,AK,-151.041147222136,61.1807694443487
"POINT (-146.345388889296 61.1366111113088)",,,,Alaska,Valdez Hospital,96,,1AK7,,Valdez-Chitna-Whitie,,Heliport,,,,Valdez,Anchorage,03/2005,AK,-146.345388889296,61.1366111113088
"POINT (-146.370555555798 61.1299999998304)",,,,Alaska,Cvtc Field,50,,3AA3,,Valdez-Cordova,,Heliport,,,,Valdez,Anchorage,02/2011,AK,-146.370555555798,61.1299999998304
"POINT (-149.279500000229 61.6074111111781)",,,,Alaska,Carol's,328,,60AK,,Matanuska-Susitna,,Heliport,,,,Wasilla,Anchorage,02/2007,AK,-149.279500000229,61.6074111111781
"POINT (-149.424769444823 61.585219444408)",,,23,Alaska,"Valley Hospital, Wasilla",340,,AK48,,Matanuska-Susitna,E,Heliport,,,,Wasilla,Anchorage,07/2002,AK,-149.424769444823,61.585219444408
"POINT (-86.8122222221298 33.2522222221045)",,,,Alabama,Shelby Medical Center,510,,AL39,,Shelby,E,Heliport,,,,Alabaster,Atlanta,08/1982,AL,-86.8122222221298,33.2522222221045
"POINT (-85.8241313890136 33.6562147224071)",,,1,Alabama,Rgnl Medical Center,844,,AL42,,Calhoun,W,Heliport,,,,Anniston,Atlanta,04/1991,AL,-85.8241313890136,33.6562147224071
"POINT (-85.9672222223123 33.6263888889405)",,,2,Alabama,Anniston Ahp (Anniston Army Depot),686,,04AL,,Calhoun,W,Heliport,,,,Anniston,Atlanta,09/2001,AL,-85.9672222223123,33.6263888889405
"POINT (-85.8333333337287 33.2750000001331)",,,1,Alabama,Clay County Hospital,1040,,0AL2,,Clay,W,Heliport,,,,Ashland,Atlanta,03/1993,AL,-85.8333333337287,33.2750000001331
"POINT (-88.17916666659 30.43111111144)",,,1,Alabama,Petroleum Helicopters Inc,34,,AL67,,Mobile,E,Heliport,,,,Theodore,New Orleans,12/1993,AL,-88.17916666659,30.43111111144
"POINT (-86.9902708330133 33.3723330554318)",,,,Alabama,Bessemer Carraway,670,,AL19,,Jefferson,E,Heliport,,,,Bessemer,Atlanta,11/1990,AL,-86.9902708330133,33.3723330554318
"POINT (-86.8463794444896 33.4976058335971)",,,,Alabama,Baptist Medical Center-Princeton,557,,AL50,,Jefferson,E,Heliport,,,,Birmingham,Atlanta,09/1984,AL,-86.8463794444896,33.4976058335971
"POINT (-86.8113791667104 33.535938333695)",,,,Alabama,Carraway Medical Center,672,,AL49,,Jefferson,E,Heliport,,,,Birmingham,Atlanta,09/1984,AL,-86.8113791667104,33.535938333695
"POINT (-86.8052675002345 33.5042719441075)",,,,Alabama,The Children's Hospital,698,,AL91,,Jefferson,E,Heliport,,,,Birmingham,Atlanta,08/1991,AL,-86.8052675002345,33.5042719441075
"POINT (-86.6774869444788 33.5120491665445)",,,,Alabama,Lakeside,645,,AL21,,Jefferson,E,Heliport,,,,Birmingham,Atlanta,04/1979,AL,-86.6774869444788,33.5120491665445
"POINT (-86.802777778102 33.5058611112424)",,,,Alabama,University Of Alabama Hospital,787,,AL38,,Jefferson,E,Heliport,,,,Birmingham,Atlanta,03/1982,AL,-86.802777778102,33.5058611112424
"POINT (-86.7730555553679 33.463888889201)",,,,Alabama,Brookwood Medical Center,763,,0AL8,,Jefferson,W,Heliport,,,,Birmingham,Atlanta,03/1993,AL,-86.7730555553679,33.463888889201
"POINT (-86.7497222219015 33.5174999998611)",,,,Alabama,Trinty Medical Center,966,,AL45,,Jefferson,W,Heliport,,,,Birmingham,Atlanta,07/1984,AL,-86.7497222219015,33.5174999998611
"POINT (-86.8136011109381 33.5195497219867)",,,,Alabama,Alabama Power Headquarters,676,,AL66,,Jefferson,E,Heliport,,,,Birmingham,Atlanta,12/1986,AL,-86.8136011109381,33.5195497219867
"POINT (-86.6647099995803 33.5951033334457)",,,,Alabama,St Vincents East,1070,,AL65,,Jefferson,E,Heliport,,,,Birmingham,Atlanta,12/1986,AL,-86.6647099995803,33.5951033334457
"POINT (-86.7020000003737 33.4786666667075)",,,,Alabama,Liberty Park,620,,9AL9,,Jefferson,,Heliport,,,,Birmingham,Atlanta,02/2005,AL,-86.7020000003737,33.4786666667075
"POINT (-86.1605555554657 34.2208333331112)",,,1,Alabama,Marshall Medical Center South,1000,,1AL0,,Marshall,W,Heliport,,,,Boaz,Atlanta,03/1993,AL,-86.1605555554657,34.2208333331112
"POINT (-87.0733333329772 31.1272222220428)",,,,Alabama,D.W. Mcmillian Memorial Hospital,155,,0AL6,,Escambia,E,Heliport,,,,Brewton,New Orleans,03/1993,AL,-87.0733333329772,31.1272222220428
"POINT (-85.7708611112056 34.9138416669114)",,,4,Alabama,North Jackson Nursing Home,650,,10AL,,Jackson,W,Heliport,,,,Bridgeport,Atlanta,07/2004,AL,-85.7708611112056,34.9138416669114
"POINT (-88.2452777774795 31.090277777502)",,,,Alabama,Silcox Memorial,339,,35AL,,Mobile,,Heliport,,,,Citronelle,New Orleans,01/2012,AL,-88.2452777774795,31.090277777502
"POINT (-85.0288191667864 32.1723744444644)",,,1,Alabama,Meadwestvaco (Mwv) Prg,95,,AL13,,Russell,W,Heliport,,,,Cottonton,Atlanta,11/1988,AL,-85.0288191667864,32.1723744444644
